BeginAnalysis,,
_AnalysisName," ""Run101620-2_Material Y_Analysis 94624.mss""",
_MethodName," ""Method 123468_06-Peel Strength.msm""",
InitialSpeed,305,"  ""mm/min"""
DataRate,50,"  ""Hz"""
EndPoint,40,"  ""mm"""
GageLength,50,"  ""mm"""
PeelEndExt,40,"  ""mm"""
StartPoint,3,"  ""mm"""
BeginSample,,
AverageLoad,1.07,"  ""N"""
AvgNPeaks,2.66,"  ""N"""
PeakLoad,3.04,"  ""N"""
PeelEnd,402,"  """""
PeelStart,38,"  """""
BeginData,,
_Load, SlackExt,
N," ""mm""",
1.17,14.14,
1.15,14.241,
1.16,14.344,
1.2,14.445,
1.24,14.547,
1.26,14.649,
1.24,14.75,
1.25,14.852,
1.31,14.954,
1.36,15.055,
1.42,15.157,
1.49,15.259,
1.52,15.359,
1.5,15.462,
1.47,15.563,
1.48,15.665,
1.52,15.767,
1.44,15.868,
1.28,15.97,
1.24,16.072,
1.26,16.173,
1.24,16.275,
1.22,16.378,
1.22,16.478,
1.25,16.58,
1.29,16.682,
1.35,16.783,
1.39,16.885,
1.44,16.987,
1.45,17.088,
1.48,17.19,
1.53,17.292,
1.54,17.393,
1.55,17.495,
1.6,17.597,
1.66,17.698,
1.72,17.801,
1.71,17.901,
1.63,18.003,
1.61,18.106,
1.65,18.206,
1.69,18.309,
1.72,18.411,
1.76,18.511,
1.8,18.613,
1.86,18.716,
1.93,18.816,
2.02,18.919,
2.11,19.02,
2.2,19.121,
2.27,19.224,
2.29,19.325,
2.26,19.426,
2.27,19.529,
2.25,19.63,
2.2,19.732,
2.14,19.834,
2.06,19.935,
2.04,20.037,
2.02,20.139,
2,20.24,
2.04,20.342,
2.13,20.444,
2.18,20.544,
2.24,20.647,
2.32,20.748,
2.37,20.85,
2.4,20.952,
2.41,21.053,
2.37,21.155,
2.4,21.257,
2.47,21.358,
2.51,21.46,
2.49,21.563,
2.39,21.663,
2.35,21.765,
2.39,21.867,
2.44,21.968,
2.26,22.07,
1.9,22.172,
1.76,22.273,
1.76,22.375,
1.79,22.477,
1.81,22.578,
1.85,22.681,
1.93,22.782,
1.98,22.883,
1.95,22.986,
1.93,23.086,
1.97,23.188,
2.04,23.29,
2.11,23.391,
2.14,23.494,
2.15,23.595,
2.18,23.696,
2.25,23.799,
2.3,23.9,
2.33,24.001,
2.39,24.104,
2.47,24.205,
2.56,24.307,
2.63,24.409,
2.68,24.51,
2.75,24.611,
2.81,24.714,
2.87,24.815,
2.93,24.917,
2.99,25.019,
3.04,25.12,
3.01,25.222,
2.96,25.324,
2.82,25.425,
2.49,25.527,
2.36,25.629,
2.43,25.73,
2.51,25.832,
2.59,25.933,
2.64,26.035,
2.7,26.137,
2.77,26.238,
2.86,26.34,
2.97,26.442,
3.05,26.543,
3.11,26.645,
3.17,26.747,
3.2,26.848,
3.1,26.95,
2.98,27.052,
2.95,27.153,
2.83,27.255,
2.62,27.357,
2.54,27.458,
2.58,27.56,
2.58,27.662,
2.52,27.764,
2.56,27.865,
2.61,27.967,
2.64,28.068,
2.71,28.17,
2.77,28.271,
2.8,28.373,
2.85,28.475,
2.93,28.576,
3.01,28.679,
3.09,28.781,
3.08,28.881,
3.04,28.984,
3.07,29.085,
3.06,29.186,
3,29.289,
3,29.39,
3.05,29.492,
3.09,29.594,
3.1,29.695,
3.09,29.796,
3.1,29.899,
3.11,30,
3.13,30.102,
3.09,30.204,
3.02,30.305,
2.96,30.407,
2.89,30.509,
2.84,30.61,
2.75,30.712,
2.57,30.813,
2.47,30.915,
2.42,31.017,
2.35,31.118,
2.32,31.22,
2.3,31.322,
2.27,31.423,
2.23,31.525,
2.17,31.627,
2.09,31.728,
2.02,31.83,
1.99,31.932,
1.96,32.033,
1.82,32.135,
1.69,32.237,
1.67,32.338,
1.65,32.441,
1.64,32.542,
1.65,32.643,
1.67,32.746,
1.69,32.847,
1.61,32.949,
1.4,33.05,
1.27,33.152,
1.21,33.253,
1.12,33.356,
1.06,33.456,
1.07,33.558,
1.06,33.66,
1.03,33.761,
1.03,33.864,
1.06,33.965,
1.07,34.066,
1.09,34.169,
1.11,34.27,
1.13,34.371,
1.15,34.474,
1.17,34.575,
1.16,34.677,
1.09,34.779,
0.98,34.88,
0.86,34.981,
0.72,35.084,
0.63,35.185,
0.57,35.287,
0.55,35.389,
0.54,35.49,
0.55,35.592,
0.55,35.694,
0.55,35.795,
0.55,35.897,
0.54,35.998,
0.5,36.1,
0.47,36.202,
0.45,36.303,
0.45,36.406,
0.45,36.507,
0.46,36.608,
0.47,36.71,
0.48,36.812,
0.48,36.913,
0.49,37.015,
0.5,37.117,
0.5,37.218,
0.5,37.32,
0.51,37.422,
0.51,37.523,
0.51,37.626,
0.51,37.727,
0.46,37.828,
0.43,37.93,
0.43,38.032,
0.43,38.134,
0.42,38.235,
0.41,38.337,
0.4,38.438,
0.4,38.54,
0.41,38.641,
0.41,38.743,
0.41,38.845,
0.42,38.946,
0.41,39.049,
0.39,39.15,
0.35,39.251,
0.34,39.354,
0.3,39.455,
0.25,39.556,
0.23,39.659,
0.24,39.76,
0.24,39.862,
0.24,39.964,
0.24,40.065,
0.24,40.166,
0.24,40.269,
0.24,40.37,
0.24,40.472,
0.24,40.574,
0.24,40.675,
0.25,40.777,
0.25,40.879,
0.24,40.98,
0.21,41.082,
0.16,41.183,
0.14,41.285,
0.14,41.387,
0.14,41.488,
0.14,41.59,
0.14,41.692,
0.14,41.793,
0.14,41.895,
0.15,41.997,
0.15,42.098,
0.15,42.2,
0.15,42.302,
0.15,42.403,
0.15,42.505,
0.16,42.607,
0.15,42.708,
0.16,42.811,
0.16,42.912,
0.15,43.013,
0.15,43.115,
0.15,43.217,
0.15,43.319,
0.15,43.42,
0.16,43.521,
0.16,43.623,
0.16,43.725,
0.16,43.826,
0.16,43.928,
0.16,44.03,
0.16,44.131,
0.16,44.234,
0.16,44.335,
0.15,44.436,
0.11,44.539,
0.04,44.64,
0,44.741,
0,44.844,
0,44.945,
-0.01,45.033,
-0.01,45.033,
EndData,,
EndSample,,
BeginSample,,
AverageLoad,1.09,"  ""N"""
AvgNPeaks,3.07,"  ""N"""
PeakLoad,3.19,"  ""N"""
PeelEnd,401,"  """""
PeelStart,38,"  """""
BeginData,,
_Load, SlackExt,
N," ""mm""",
0,0.001,
0,0.001,
0,0.001,
0,0.001,
0,0.001,
0,0.004,
0,0.022,
0,0.053,
0.01,0.096,
0.05,0.156,
0.05,0.226,
0.03,0.307,
0.03,0.401,
0.03,0.505,
0.03,0.609,
0.01,0.71,
0.01,0.812,
0.01,0.914,
0.02,1.015,
0.02,1.117,
0.02,1.218,
0.02,1.319,
0.03,1.422,
0.03,1.523,
0.03,1.625,
0.04,1.727,
0.05,1.828,
0.05,1.93,
0.07,2.032,
0.08,2.133,
0.09,2.235,
0.1,2.337,
0.11,2.438,
0.11,2.54,
0.11,2.641,
0.1,2.744,
0.09,2.846,
0.11,2.947,
0.12,3.048,
0.14,3.151,
0.17,3.251,
0.19,3.353,
0.22,3.456,
0.25,3.556,
0.26,3.659,
0.23,3.76,
0.19,3.861,
0.2,3.964,
0.23,4.065,
0.25,4.166,
0.26,4.269,
0.25,4.37,
0.23,4.472,
0.21,4.574,
0.21,4.675,
0.22,4.776,
0.23,4.879,
0.24,4.979,
0.24,5.082,
0.25,5.184,
0.27,5.284,
