BeginAnalysis,,
_AnalysisName," ""Run101620-1_Material X_Analysis 94623.mss""",
_MethodName," ""Method 123468_06-Peel Strength.msm""",
InitialSpeed,305,"  ""mm/min"""
DataRate,50,"  ""Hz"""
EndPoint,40,"  ""mm"""
GageLength,50,"  ""mm"""
PeelEndExt,40,"  ""mm"""
StartPoint,3,"  ""mm"""
BeginSample,,
AverageLoad,0.91,"  ""N"""
AvgNPeaks,2.23,"  ""N"""
PeakLoad,2.58,"  ""N"""
PeelEnd,402,"  """""
PeelStart,38,"  """""
BeginData,,
_Load, SlackExt,
N," ""mm""",
0,0,
0.15,3.445,
0.17,3.546,
0.19,3.648,
0.22,3.75,
0.24,3.851,
0.26,3.953,
0.27,4.055,
0.29,4.156,
0.32,4.258,
0.36,4.36,
0.4,4.461,
0.4,4.564,
0.39,4.665,
0.39,4.766,
0.4,4.869,
0.4,4.969,
0.42,5.071,
0.43,5.174,
0.4,5.274,
0.38,5.377,
0.34,5.479,
0.32,5.579,
0.33,5.682,
0.35,5.784,
0.37,5.884,
0.41,5.987,
0.44,6.088,
0.48,6.19,
0.49,6.292,
0.46,6.393,
0.42,6.494,
0.38,6.597,
0.37,6.698,
0.4,6.8,
0.44,6.902,
0.46,7.003,
0.48,7.105,
0.52,7.207,
0.56,7.308,
0.6,7.41,
0.62,7.512,
0.62,7.613,
0.62,7.715,
0.62,7.816,
0.62,7.918,
0.59,8.02,
0.55,8.121,
0.56,8.223,
0.6,8.325,
0.63,8.426,
0.67,8.528,
0.71,8.63,
0.73,8.731,
0.7,8.833,
0.67,8.935,
0.68,9.036,
0.68,9.138,
0.68,9.24,
0.65,9.341,
0.63,9.444,
0.65,9.545,
0.68,9.647,
0.72,9.749,
0.75,9.849,
0.78,9.951,
0.83,10.054,
0.86,10.154,
0.88,10.256,
0.88,10.358,
0.85,10.459,
0.84,10.562,
0.83,10.663,
0.84,10.764,
0.89,10.867,
0.94,10.968,
0.98,11.069,
1,11.172,
1.01,11.273,
1.01,11.375,
1.02,11.477,
1,11.578,
0.88,11.679,
0.78,11.782,
0.78,11.883,
0.8,11.985,
0.83,12.087,
0.87,12.188,
0.91,12.29,
0.93,12.392,
0.95,12.493,
0.99,12.595,
1.02,12.696,
1.05,12.798,
1.09,12.9,
1.12,13.001,
1.15,13.103,
1.19,13.205,
1.21,13.306,
1.24,13.408,
1.28,13.51,
1.32,13.611,
1.35,13.713,
1.38,13.815,
1.38,13.916,
1.36,14.018,
1.35,14.12,
1.33,14.221,
1.3,14.323,
1.23,14.425,
1.16,14.526,
1.19,14.628,
1.24,14.729,
1.29,14.832,
1.32,14.933,
1.29,15.035,
1.29,15.136,
1.34,15.239,
1.37,15.339,
1.39,15.441,
1.42,15.543,
1.39,15.644,
1.35,15.747,
1.37,15.848,
1.36,15.949,
1.32,16.052,
1.32,16.153,
1.37,16.254,
1.42,16.357,
1.41,16.458,
1.32,16.56,
1.29,16.662,
